Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R3	Early_Gilteritinib_MOLM14_FLT3_R1	Late_Gilteritinib_MOLM14_FLT3_R1	Early_Gilteritinib_MOLM14_FLT3_R2	Late_Gilteritinib_MOLM14_FLT3_R2	parenta_MOLM14_R4	Early_Gilteritinib_MOLM14_FLT3_R3	Late_Gilteritinib_MOLM14_FLT3_R3	Early_Gilteritinib_MOLM14_FLT3_R4	Late_Gilteritinib_MOLM14_FLT3_R4	Pool02
sp|Q7Z6E9|RBBP6_HUMAN	Q7Z6E9	RBBP6_HUMAN	RBBP6	1792	Homo sapiens	E3 ubiquitin-protein ligase RBBP6	1:Experimental evidence at protein level	28.57	10.000	0.9990	48	48	48	94	94	94	166699804	166699804	166699804	10K(229.1629), 11C(57.0214), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 14C(57.0214), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17C(57.0214), 18K(229.1629), 1K(229.1629), 20C(57.0214), 28K(229.1629), 29K(229.1629), 2C(57.0214), 2K(229.1629), 4C(57.0214), 5K(229.1629), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			47.180.073.147	37.467.849.374	52.355.812.676	40.069.472.844	52.209.673.369	39.944.350.842	45.218.096.653	49.751.980.986	42.400.751.997	56.074.050.903	71.839.107.974
sp|Q7Z6I6|RHG30_HUMAN	Q7Z6I6	RHG30_HUMAN	ARHGAP30	1101	Homo sapiens	Rho GTPase-activating protein 30	1:Experimental evidence at protein level	24.70	10.000	0.9990	23	21	23	41	39	41	155037812	155037812	155037812	10C(57.0214), 10K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16K(229.1629), 1K(229.1629), 21K(229.1629), 22K(229.1629), 24K(229.1629), 2C(57.0214), 4C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			18.968.979.058	20.591.751.948	25.532.577.754	22.137.324.932	29.234.176.006	17.673.475.366	21.759.749.907	21.301.490.747	18.981.007.319	26.875.596.367	27.910.870.703
sp|Q7Z6I8|CE024_HUMAN	Q7Z6I8	CE024_HUMAN	C5orf24	188	Homo sapiens	UPF0461 protein C5orf24	1:Experimental evidence at protein level	35.11	10.000	0.9990	5	5	5	14	14	14	41663476	41663476	41663476	11K(229.1629), 14K(229.1629), 8C(57.0214), 9K(229.1629), N-term(229.1692)			3.900.348.853	4.733.649.478	5.894.738.208	4.989.991.465	4.875.625.986	3.903.865.901	5.442.302.505	5.450.589.993	5.193.239.814	5.976.616.240	6.724.503.062
sp|Q7Z6J9|SEN54_HUMAN	Q7Z6J9	SEN54_HUMAN	TSEN54	526	Homo sapiens	tRNA-splicing endonuclease subunit Sen54	1:Experimental evidence at protein level	20.34	10.000	0.9990	7	7	7	10	10	10	31446446	31446446	31446446	14C(57.0214), 17K(229.1629), 19K(229.1629), 21K(229.1629), 2C(57.0214), 5C(57.0214), 5K(229.1629), 9K(229.1629), N-term(229.1692)			2.518.290.811	2.080.467.944	2.636.297.603	2.353.725.723	2.727.123.301	2.367.742.568	2.753.830.576	2.399.677.378	2.785.176.870	3.190.456.006	3.954.230.635
sp|Q7Z6K3|PTAR1_HUMAN	Q7Z6K3	PTAR1_HUMAN	PTAR1	402	Homo sapiens	Protein prenyltransferase alpha subunit repeat-containing protein 1	1:Experimental evidence at protein level	4.48	10.000	0.9990	2	2	2	3	3	3	15382491	15382491	15382491	9K(229.1629), N-term(229.1692)			523.839.443	445.497.769	549.768.457	545.118.794	642.076.279	505.537.441	479.357.324	520.777.056	418.585.977	603.370.635	780.870.527
sp|Q7Z6L1|TCPR1_HUMAN	Q7Z6L1	TCPR1_HUMAN	TECPR1	1165	Homo sapiens	Tectonin beta-propeller repeat-containing protein 1	1:Experimental evidence at protein level	5.15	10.000	0.9990	5	5	5	6	6	6	78018937	78018937	78018937	10K(229.1629), 15K(229.1629), 18C(57.0214), 2C(57.0214), 8C(57.0214), N-term(229.1692)			1.441.785.610	1.701.117.817	2.260.983.433	1.503.211.074	2.055.970.908	1.642.784.341	1.559.794.668	1.791.946.045	1.863.589.531	2.198.893.345	2.068.417.764
sp|Q7Z6M1|RABEK_HUMAN	Q7Z6M1	RABEK_HUMAN	RABEPK	372	Homo sapiens	Rab9 effector protein with kelch motifs	1:Experimental evidence at protein level	39.25	10.000	0.9990	11	11	11	19	19	19	76965538	76965538	76965538	10K(229.1629), 11C(57.0214), 12K(229.1629), 13K(229.1629), 14C(57.0214), 15C(57.0214), 15K(229.1629), 18K(229.1629), 21K(229.1629), 23C(57.0214), 27K(229.1629), 2C(57.0214), 5C(57.0214), 6C(57.0214), 8C(57.0214), 8M(15.9949), 9K(229.1629), N-term(229.1692)			11.526.190.127	8.411.895.923	10.349.866.519	8.747.101.016	11.507.198.931	10.430.895.918	10.094.059.111	8.769.216.113	9.799.100.562	10.262.228.462	12.290.059.878
sp|Q7Z6M3|MILR1_HUMAN	Q7Z6M3	MILR1_HUMAN	MILR1	343	Homo sapiens	Allergin-1	1:Experimental evidence at protein level	17.78	10.000	0.9990	5	5	5	7	7	7	56827973	56827973	56827973	11C(57.0214), 12C(57.0214), 14K(229.1629), 1K(229.1629), 21K(229.1629), 5C(57.0214), 6C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			3.925.995.703	3.501.523.525	3.834.478.867	2.799.003.281	5.096.214.746	2.510.041.270	3.475.926.533	3.823.185.000	2.887.928.252	5.731.122.324	5.425.225.312
sp|Q7Z6M4|MTEF4_HUMAN	Q7Z6M4	MTEF4_HUMAN	MTERF4	381	Homo sapiens	Transcription termination factor 4, mitochondrial	1:Experimental evidence at protein level	12.07	10.000	0.9990	5	5	5	9	9	9	60227918	60227918	60227918	13K(229.1629), 17K(229.1629), 5C(57.0214), 6C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692)			3.995.418.457	3.436.717.617	4.027.158.535	3.405.742.617	4.557.390.400	3.747.495.596	3.656.317.422	4.169.001.367	3.882.027.334	4.636.415.088	5.371.440.977
sp|Q7Z6P3|RAB44_HUMAN	Q7Z6P3	RAB44_HUMAN	RAB44	1021	Homo sapiens	Ras-related protein Rab-44	1:Experimental evidence at protein level	33.99	10.000	0.9990	28	28	28	49	49	49	197756576	197756576	197756576	12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 2K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			18.763.915.295	17.163.264.989	27.487.778.147	23.303.404.243	32.671.670.024	14.883.930.297	23.150.935.515	21.142.786.738	24.341.624.722	34.783.821.255	28.199.850.178
sp|Q7Z6V5|ADAT2_HUMAN	Q7Z6V5	ADAT2_HUMAN	ADAT2	191	Homo sapiens	tRNA-specific adenosine deaminase 2	1:Experimental evidence at protein level	29.32	10.000	0.9990	4	4	4	8	8	8	15361914	15361914	15361914	10K(229.1629), 12C(57.0214), 14C(57.0214), 23K(229.1629), 8K(229.1629), N-term(229.1692)			1.038.830.361	743.174.111	1.138.363.247	854.298.984	1.283.407.563	995.041.025	1.024.906.655	1.040.520.566	899.884.854	1.251.797.490	1.582.182.881
sp|Q7Z6Z7|HUWE1_HUMAN	Q7Z6Z7	HUWE1_HUMAN	HUWE1	4374	Homo sapiens	E3 ubiquitin-protein ligase HUWE1	1:Experimental evidence at protein level	32.74	10.000	0.9990	118	117	118	263	261	263	999142848	999142848	999142848	10C(57.0214), 10K(229.1629), 11C(57.0214), 11K(229.1629), 12C(57.0214), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16K(229.1629), 17C(57.0214), 17K(229.1629), 18K(229.1629), 19C(57.0214), 1K(229.1629), 20C(57.0214), 20M(15.9949), 21K(229.1629), 22K(229.1629), 23C(57.0214), 24C(57.0214), 25K(229.1629), 26K(229.1629), 2C(57.0214), 2M(15.9949), 31C(57.0214), 32K(229.1629), 3C(57.0214), 3K(229.1629), 4C(57.0214), 5C(57.0214), 6C(57.0214), 6M(15.9949), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 9C(57.0214), 9K(229.1629), 9M(15.9949), N-term(229.1692)			130.391.296.000	110.216.268.920	160.192.146.805	116.442.020.594	157.625.693.727	110.372.363.225	135.367.265.635	138.610.415.935	128.990.951.478	171.102.163.273	206.588.488.247
sp|Q7Z739|YTHD3_HUMAN	Q7Z739	YTHD3_HUMAN	YTHDF3	585	Homo sapiens	YTH domain-containing family protein 3	1:Experimental evidence at protein level	39.49	10.000	0.9990	20	13	20	58	43	58	614083072	198177300	614083072	10K(229.1629), 11K(229.1629), 11M(15.9949), 12K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 1K(229.1629), 37K(229.1629), 3K(229.1629), 3M(15.9949), 4K(229.1629), 5C(57.0214), 7K(229.1629), 8K(229.1629), 8M(15.9949), N-term(229.1692), N-term(42.0106)			42.787.992.981	30.727.102.635	55.133.454.303	33.315.084.132	44.935.324.852	38.668.448.251	40.223.257.510	42.461.634.070	35.628.834.727	50.662.017.631	66.307.005.715
sp|Q7Z7A1|CNTRL_HUMAN	Q7Z7A1	CNTRL_HUMAN	CNTRL	2325	Homo sapiens	Centriolin	1:Experimental evidence at protein level	21.51	10.000	0.9990	42	41	42	65	64	65	318679584	318679584	318679584	10C(57.0214), 10K(229.1629), 12C(57.0214), 12K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 20K(229.1629), 22K(229.1629), 2K(229.1629), 3C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			19.121.606.941	17.418.069.177	26.161.496.223	19.840.408.464	23.846.128.745	18.277.722.397	23.379.542.690	26.448.947.417	21.085.887.300	26.936.628.296	34.770.156.484
sp|Q7Z7A3|CTU1_HUMAN	Q7Z7A3	CTU1_HUMAN	CTU1	348	Homo sapiens	Cytoplasmic tRNA 2-thiolation protein 1	1:Experimental evidence at protein level	25.57	10.000	0.9990	7	6	7	11	10	11	60297058	60297058	60297058	5C(57.0214), 8C(57.0214), 9C(57.0214), N-term(229.1692)			3.761.390.439	2.495.295.996	3.515.535.801	2.454.336.123	3.832.883.086	3.096.800.078	3.054.898.174	3.287.624.365	2.829.279.434	3.887.865.605	4.675.617.988
sp|Q7Z7A4|PXK_HUMAN	Q7Z7A4	PXK_HUMAN	PXK	578	Homo sapiens	PX domain-containing protein kinase-like protein	1:Experimental evidence at protein level	39.10	10.000	0.9990	22	21	22	40	39	40	286580528	286580528	286580528	12K(229.1629), 13K(229.1629), 13M(15.9949), 14K(229.1629), 17K(229.1629), 18C(57.0214), 19C(57.0214), 1K(229.1629), 22K(229.1629), 2C(57.0214), 3M(15.9949), 5C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			18.419.403.433	11.201.057.205	17.477.231.511	12.306.763.916	19.054.560.923	15.839.178.921	17.066.241.938	16.510.740.293	15.984.529.385	20.758.025.635	27.876.905.244
sp|Q7Z7C8|TAF8_HUMAN	Q7Z7C8	TAF8_HUMAN	TAF8	310	Homo sapiens	Transcription initiation factor TFIID subunit 8	1:Experimental evidence at protein level	19.35	10.000	0.9990	4	4	4	8	8	8	59165152	59165152	59165152	16K(229.1629), N-term(229.1692), N-term(42.0106)			12.002.159.937	10.684.560.410	13.547.920.122	9.965.014.492	15.482.692.920	11.154.030.271	12.235.399.731	14.824.981.201	10.627.535.293	14.392.310.400	18.309.001.602
sp|Q7Z7E8|UB2Q1_HUMAN	Q7Z7E8	UB2Q1_HUMAN	UBE2Q1	422	Homo sapiens	Ubiquitin-conjugating enzyme E2 Q1	1:Experimental evidence at protein level	23.22	10.000	0.9990	7	6	7	14	13	14	212397236	172298492	212397236	15K(229.1629), 3C(57.0214), 7C(57.0214), 8K(229.1629), N-term(229.1692)			9.202.788.926	6.074.875.527	9.212.299.512	6.206.587.637	9.481.160.820	7.796.222.217	7.945.044.404	7.897.272.588	7.683.066.797	9.115.501.406	11.275.948.008
sp|Q7Z7F0|KHDC4_HUMAN	Q7Z7F0	KHDC4_HUMAN	KHDC4	614	Homo sapiens	KH homology domain-containing protein 4	1:Experimental evidence at protein level	18.08	10.000	0.9990	10	10	10	16	16	16	301786264	301786264	301786264	10K(229.1629), 14K(229.1629), 15K(229.1629), 2K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			12.566.243.486	9.101.971.055	13.295.099.883	9.846.737.598	13.550.518.174	11.032.127.051	11.857.984.268	13.101.946.904	9.728.408.857	13.887.366.934	18.118.012.988
sp|Q7Z7F7|RM55_HUMAN	Q7Z7F7	RM55_HUMAN	MRPL55	128	Homo sapiens	Large ribosomal subunit protein mL55	1:Experimental evidence at protein level	49.22	10.000	0.9990	8	8	8	17	17	17	297090712	297090712	297090712	4M(15.9949), 8K(229.1629), N-term(229.1692)			7.243.394.521	5.653.295.713	8.469.001.660	6.333.755.723	7.326.310.037	4.466.860.010	7.205.902.090	7.338.261.638	7.204.704.531	8.646.657.300	10.069.829.565
sp|Q7Z7G8|VP13B_HUMAN	Q7Z7G8	VP13B_HUMAN	VPS13B	4022	Homo sapiens	Intermembrane lipid transfer protein VPS13B	1:Experimental evidence at protein level	2.09	10.000	0.9990	7	7	7	7	7	7	36469146	36469146	36469146	10C(57.0214), 11K(229.1629), 13K(229.1629), 15K(229.1629), 6C(57.0214), 7C(57.0214), N-term(229.1692)			962.442.109	1.537.677.473	878.185.996	1.929.694.290	1.336.828.296	1.130.317.671	909.202.383	830.380.420	1.706.817.573	1.661.313.735	1.273.768.381
sp|Q7Z7H5|TMED4_HUMAN	Q7Z7H5	TMED4_HUMAN	TMED4	227	Homo sapiens	Transmembrane emp24 domain-containing protein 4	1:Experimental evidence at protein level	29.52	10.000	0.9990	7	6	7	21	19	21	229940362	229940362	229940362	11K(229.1629), 11M(15.9949), 12M(15.9949), 17K(229.1629), 1C(57.0214), 22K(229.1629), 2C(57.0214), N-term(229.1692)			6.399.344.739	7.345.213.823	10.181.645.537	7.882.694.006	9.448.899.512	6.583.422.368	9.198.771.548	9.044.692.314	9.431.367.383	10.342.917.512	13.661.866.919
sp|Q7Z7H8|RM10_HUMAN	Q7Z7H8	RM10_HUMAN	MRPL10	261	Homo sapiens	Large ribosomal subunit protein uL10m	1:Experimental evidence at protein level	44.83	10.000	0.9990	8	8	8	22	22	22	159544768	159544768	159544768	11C(57.0214), 11K(229.1629), 13M(15.9949), 15K(229.1629), 21K(229.1629), 5C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			11.541.418.896	10.919.278.008	12.680.805.742	10.944.995.640	13.097.149.199	8.239.346.187	12.445.090.459	11.061.424.624	12.284.844.380	15.744.824.814	17.326.605.879
sp|Q7Z7K0|COXM1_HUMAN	Q7Z7K0	COXM1_HUMAN	CMC1	106	Homo sapiens	COX assembly mitochondrial protein homolog	1:Experimental evidence at protein level	51.89	10.000	0.9990	5	5	5	10	10	10	141899122	141899122	141899122	12K(229.1629), 16C(57.0214), 17K(229.1629), 2C(57.0214), 3C(57.0214), 6M(15.9949), 7K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			6.706.062.744	6.015.201.602	9.048.260.156	6.294.688.613	6.461.082.656	5.283.483.984	8.827.288.301	7.468.785.293	6.831.244.883	6.818.885.459	11.248.543.164
sp|Q7Z7K6|CENPV_HUMAN	Q7Z7K6	CENPV_HUMAN	CENPV	275	Homo sapiens	Centromere protein V	1:Experimental evidence at protein level	61.82	10.000	0.9990	13	13	13	39	39	39	527283968	527283968	527283968	11K(229.1629), 13K(229.1629), 14K(229.1629), 2C(57.0214), 2M(15.9949), 5C(57.0214), 6C(57.0214), 6K(229.1629), 7C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			21.889.318.401	19.226.733.287	25.003.180.186	22.247.419.480	26.958.877.593	18.947.966.519	23.208.232.683	23.329.459.591	22.338.990.548	28.087.781.509	34.015.814.299
sp|Q7Z7L1|SLN11_HUMAN	Q7Z7L1	SLN11_HUMAN	SLFN11	901	Homo sapiens	Schlafen family member 11	1:Experimental evidence at protein level	10.10	10.000	0.9990	10	7	10	11	7	11	74926240	66240844	74926240	10C(57.0214), 10K(229.1629), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692)			12.391.521.177	6.098.047.471	9.555.350.024	5.964.217.349	13.153.624.438	9.373.499.033	6.970.637.339	6.982.542.246	4.924.437.725	9.674.661.353	6.738.262.900
sp|Q7Z7L7|ZER1_HUMAN	Q7Z7L7	ZER1_HUMAN	ZER1	766	Homo sapiens	Protein zer-1 homolog	1:Experimental evidence at protein level	3.66	10.000	0.9990	3	3	3	5	5	5	10427202	10427202	10427202	13K(229.1629), 5C(57.0214), 7K(229.1629), N-term(229.1692)			873.100.278	796.893.213	1.298.779.414	960.108.892	1.077.718.711	826.062.812	1.192.893.398	1.071.739.150	1.201.076.587	1.372.281.973	1.622.125.923
sp|Q7Z7L9|ZSCA2_HUMAN	Q7Z7L9	ZSCA2_HUMAN	ZSCAN2	614	Homo sapiens	Zinc finger and SCAN domain-containing protein 2	2:Experimental evidence at transcript level	5.21	10.000	0.9990	3	2	2	8	4	4	28602386	3477290	28602386	14K(229.1629), N-term(229.1692)			2.861.844.529	3.166.451.787	4.604.703.909	3.642.615.293	5.027.403.179	3.199.700.842	3.664.477.822	4.657.496.377	5.322.166.025	5.040.217.070	6.522.705.117
sp|Q86SF2|GALT7_HUMAN	Q86SF2	GALT7_HUMAN	GALNT7	657	Homo sapiens	N-acetylgalactosaminyltransferase 7	1:Experimental evidence at protein level	19.48	10.000	0.9990	12	12	12	21	21	21	46672972	46672972	46672972	10C(57.0214), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 22K(229.1629), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			5.598.510.156	3.404.225.902	4.861.335.610	4.035.964.673	5.273.619.099	4.189.852.051	4.388.541.008	5.202.479.879	4.571.638.514	5.932.722.271	6.285.539.104
sp|Q86SQ7|SDCG8_HUMAN	Q86SQ7	SDCG8_HUMAN	SDCCAG8	713	Homo sapiens	Serologically defined colon cancer antigen 8	1:Experimental evidence at protein level	26.09	10.000	0.9990	16	16	16	22	22	22	56837674	56837674	56837674	12K(229.1629), 13K(229.1629), 16K(229.1629), 18K(229.1629), 6K(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1692)			7.107.664.185	5.633.233.989	7.681.787.073	5.987.406.042	7.645.420.332	6.645.887.922	6.572.643.489	7.646.249.080	6.559.722.942	8.446.014.675	10.742.505.449
sp|Q86SQ9|DHDDS_HUMAN	Q86SQ9	DHDDS_HUMAN	DHDDS	333	Homo sapiens	Dehydrodolichyl diphosphate synthase complex subunit DHDDS	1:Experimental evidence at protein level	8.41	10.000	0.9990	3	3	3	3	3	3	7648497	7648497	7648497	N-term(229.1692)			975.385.488	479.847.734	882.915.928	660.519.209	1.097.879.375	759.979.072	638.332.402	738.847.393	647.772.256	1.061.749.814	806.215.938
sp|Q86SX6|GLRX5_HUMAN	Q86SX6	GLRX5_HUMAN	GLRX5	157	Homo sapiens	Glutaredoxin-related protein 5, mitochondrial	1:Experimental evidence at protein level	22.29	10.000	0.9990	6	6	6	12	12	12	91856376	91856376	91856376	11K(229.1629), 12K(229.1629), 18K(229.1629), 1K(229.1629), 23K(229.1629), N-term(229.1692)			8.384.807.236	6.170.048.838	6.599.414.028	6.259.702.412	9.084.416.753	6.861.427.012	6.597.953.613	6.449.862.910	5.280.133.389	7.815.396.396	9.003.016.748
sp|Q86SZ2|TPC6B_HUMAN	Q86SZ2	TPC6B_HUMAN	TRAPPC6B	158	Homo sapiens	Trafficking protein particle complex subunit 6B	1:Experimental evidence at protein level	74.05	10.000	0.9990	12	12	12	27	27	27	164541220	164541220	164541220	13C(57.0214), 13K(229.1629), 14K(229.1629), 19K(229.1629), 2K(229.1629), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			13.069.897.515	14.396.728.823	20.977.794.922	16.340.646.240	16.461.240.161	11.677.676.455	16.699.245.801	16.476.772.617	19.065.462.061	20.320.022.734	23.424.537.559
sp|Q86T03|PP4P1_HUMAN	Q86T03	PP4P1_HUMAN	PIP4P1	277	Homo sapiens	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	1:Experimental evidence at protein level	13.72	10.000	0.9990	4	4	4	7	7	7	66352718	66352718	66352718	11K(229.1629), 1C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 7K(229.1629), 8C(57.0214), 9K(229.1629), N-term(229.1692)			2.577.386.406	3.858.660.039	4.918.280.410	3.385.084.082	3.639.041.230	2.899.282.461	5.163.271.152	5.058.944.824	4.888.120.977	5.645.830.703	5.647.088.496
sp|Q86T24|KAISO_HUMAN	Q86T24	KAISO_HUMAN	ZBTB33	672	Homo sapiens	Transcriptional regulator Kaiso	1:Experimental evidence at protein level	12.35	10.000	0.9990	9	9	9	19	19	19	96938904	96938904	96938904	10K(229.1629), 11K(229.1629), 12K(229.1629), 18K(229.1629), 6M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			11.458.363.091	7.159.550.571	8.084.470.864	6.373.442.522	9.846.006.665	8.911.389.302	7.904.670.918	8.333.347.393	8.181.238.433	9.934.511.938	11.262.491.689
sp|Q86T82|UBP37_HUMAN	Q86T82	UBP37_HUMAN	USP37	979	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase 37	1:Experimental evidence at protein level	4.19	10.000	0.9990	4	4	4	5	5	5	47100508	47100508	47100508	11K(229.1629), 2C(57.0214), 8K(229.1629), N-term(229.1692)			1.012.120.820	587.539.004	1.227.042.715	751.457.031	963.321.582	878.020.742	815.236.641	1.095.782.773	804.388.184	1.100.076.211	1.396.409.883
sp|Q86T90|K1328_HUMAN	Q86T90	K1328_HUMAN	KIAA1328	577	Homo sapiens	Protein hinderin	1:Experimental evidence at protein level	2.60	10.000	0.9990	2	2	2	3	3	3	1844439	1844439	1844439	3C(57.0214), N-term(229.1692)			211.591.736	300.299.640	365.687.759	484.806.105	354.583.542	255.874.639	325.775.771	394.193.180	425.458.232	362.620.715	606.743.605
sp|Q86TB9|PATL1_HUMAN	Q86TB9	PATL1_HUMAN	PATL1	770	Homo sapiens	Protein PAT1 homolog 1	1:Experimental evidence at protein level	22.08	10.000	0.9990	14	14	14	24	24	24	98347224	98347224	98347224	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 6K(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1692)			10.474.344.326	7.611.291.404	11.388.075.757	8.122.641.404	11.701.849.648	9.247.028.965	9.816.807.729	10.998.713.608	9.664.242.397	13.393.690.083	16.183.121.816
sp|Q86TI0|TBCD1_HUMAN	Q86TI0	TBCD1_HUMAN	TBC1D1	1168	Homo sapiens	TBC1 domain family member 1	1:Experimental evidence at protein level	21.83	10.000	0.9990	23	22	23	36	35	36	195307410	195307410	195307410	11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 16K(229.1629), 19K(229.1629), 1C(57.0214), 1K(229.1629), 2K(229.1629), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), N-term(229.1692)			9.876.278.545	10.432.789.287	13.869.475.996	11.033.005.864	14.442.885.781	9.404.949.380	11.280.029.058	11.983.568.418	10.854.770.923	15.320.775.962	14.830.271.470
sp|Q86TI2|DPP9_HUMAN	Q86TI2	DPP9_HUMAN	DPP9	863	Homo sapiens	Dipeptidyl peptidase 9	1:Experimental evidence at protein level	32.10	10.000	0.9990	25	25	25	46	46	46	322034016	322034016	322034016	10K(229.1629), 11K(229.1629), 12K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 1K(229.1629), 21K(229.1629), 3K(229.1629), 4C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			23.229.290.278	19.050.095.042	25.089.179.561	21.712.864.939	28.474.827.759	20.329.215.815	23.547.840.232	23.730.396.663	23.190.220.806	31.135.369.575	33.160.566.436
sp|Q86TJ2|TAD2B_HUMAN	Q86TJ2	TAD2B_HUMAN	TADA2B	420	Homo sapiens	Transcriptional adapter 2-beta	1:Experimental evidence at protein level	9.76	10.000	0.9990	4	4	4	7	7	7	213389396	213389396	213389396	11K(229.1629), 3C(57.0214), 7K(229.1629), N-term(229.1692)			1.503.800.415	1.495.297.354	1.874.751.138	1.484.521.172	1.868.808.135	1.453.491.006	1.673.611.807	1.664.740.747	2.038.461.426	1.952.503.608	2.773.232.129
sp|Q86TM6|SYVN1_HUMAN	Q86TM6	SYVN1_HUMAN	SYVN1	617	Homo sapiens	E3 ubiquitin-protein ligase synoviolin	1:Experimental evidence at protein level	2.59	10.000	0.9990	2	2	2	3	3	3	38196096	38196096	38196096	N-term(229.1692)			1.775.468.262	1.214.431.992	1.594.418.242	1.477.260.703	1.974.129.629	1.156.860.781	1.965.044.805	1.656.872.383	1.725.616.289	1.980.916.797	2.294.768.555
sp|Q86TN4|TRPT1_HUMAN	Q86TN4	TRPT1_HUMAN	TRPT1	253	Homo sapiens	tRNA 2'-phosphotransferase 1	1:Experimental evidence at protein level	24.51	10.000	0.9990	4	4	4	8	8	8	66043643	66043643	66043643	10K(229.1629), 5M(15.9949), N-term(229.1692)			3.242.197.606	2.245.483.555	4.337.470.134	2.682.459.331	3.547.632.455	2.939.222.499	3.585.036.477	3.653.679.316	3.223.559.990	4.327.950.265	5.065.365.452
sp|Q86TP1|PRUN1_HUMAN	Q86TP1	PRUN1_HUMAN	PRUNE1	453	Homo sapiens	Exopolyphosphatase PRUNE1	1:Experimental evidence at protein level	7.28	10.000	0.9990	3	3	3	5	5	5	45155826	45155826	45155826	10K(229.1629), 14K(229.1629), 9K(229.1629), N-term(229.1692)			1.831.398.750	1.411.745.586	2.356.355.352	1.498.796.045	1.780.779.453	1.368.997.871	1.882.800.195	1.965.644.238	1.788.053.457	2.236.162.715	3.456.915.234
sp|Q86TS9|RM52_HUMAN	Q86TS9	RM52_HUMAN	MRPL52	123	Homo sapiens	Large ribosomal subunit protein mL52	1:Experimental evidence at protein level	48.78	10.000	0.9990	3	3	3	9	9	9	130061480	130061480	130061480	33K(229.1629), 6K(229.1629), 8K(229.1629), N-term(229.1692)			3.295.525.593	2.996.913.577	3.487.764.185	3.321.448.751	3.245.546.447	2.433.229.126	3.638.862.205	3.381.665.178	3.630.738.931	3.798.276.599	5.574.796.724
