Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R1	Late_Gilteritinib_MOLM14_R1	Early_Gilteritinib_MOLM14_FGF2_R1	Late_Gilteritinib_MOLM14_FGF2_R2	Early_Gilteritinib_MOLM14_FGF2_R2	Late_Gilteritinib_MOLM14_FGF2_R3	parental_MOLM14_R2	Early_Gilteritinib_MOLM14_FGF2_R3	Late_Gilteritinib_MOLM14_FGF2_R4	Early_Gilteritinib_MOLM14_FGF2_R4	Pool01
sp|Q7Z6M4|MTEF4_HUMAN	Q7Z6M4	MTEF4_HUMAN	MTERF4	381	Homo sapiens	Transcription termination factor 4, mitochondrial	1:Experimental evidence at protein level	12.34	10.000	0.9990	6	6	6	9	9	9	45959460	45959460	45959460	13K(229.1629), 17K(229.1629), 5C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692)			896.996.636	1.252.993.242	1.150.372.871	1.408.819.023	1.524.064.390	1.493.205.508	1.610.955.225	1.621.603.931	1.265.307.451	1.626.948.206	1.983.704.287
sp|Q7Z6P3|RAB44_HUMAN	Q7Z6P3	RAB44_HUMAN	RAB44	1021	Homo sapiens	Ras-related protein Rab-44	1:Experimental evidence at protein level	30.07	10.000	0.9990	25	25	25	46	46	46	283616272	283616272	283616272	12K(229.1629), 13K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 2K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			18.322.613.169	29.507.523.960	13.851.394.639	34.122.779.727	21.693.513.721	33.236.255.684	29.847.724.702	19.398.962.173	32.264.012.314	18.818.149.453	34.536.335.957
sp|Q7Z6V5|ADAT2_HUMAN	Q7Z6V5	ADAT2_HUMAN	ADAT2	191	Homo sapiens	tRNA-specific adenosine deaminase 2	1:Experimental evidence at protein level	21.47	10.000	0.9990	3	3	3	4	4	4	14192648	14192648	14192648	10K(229.1629), 12C(57.0214), 23K(229.1629), 8K(229.1629), N-term(229.1692)			487.064.734	474.340.142	403.677.378	567.611.592	473.988.994	498.651.621	751.828.940	299.017.954	566.906.416	313.989.595	703.595.898
sp|Q7Z6Z7|HUWE1_HUMAN	Q7Z6Z7	HUWE1_HUMAN	HUWE1	4374	Homo sapiens	E3 ubiquitin-protein ligase HUWE1	1:Experimental evidence at protein level	32.28	10.000	0.9990	117	116	117	266	265	266	605568672	605568672	605568672	10C(57.0214), 10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16K(229.1629), 17C(57.0214), 17K(229.1629), 18K(229.1629), 19C(57.0214), 1K(229.1629), 20C(57.0214), 20M(15.9949), 21K(229.1629), 22C(57.0214), 22K(229.1629), 24C(57.0214), 24K(229.1629), 25K(229.1629), 26K(229.1629), 2C(57.0214), 2M(15.9949), 31C(57.0214), 32K(229.1629), 34K(229.1629), 3C(57.0214), 3K(229.1629), 4C(57.0214), 4M(15.9949), 5C(57.0214), 6C(57.0214), 6M(15.9949), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			114.056.859.801	143.208.735.593	90.561.576.268	158.299.567.269	133.236.172.538	151.083.138.673	163.412.126.138	117.753.126.873	163.561.856.022	101.367.491.041	200.592.905.415
sp|Q7Z739|YTHD3_HUMAN	Q7Z739	YTHD3_HUMAN	YTHDF3	585	Homo sapiens	YTH domain-containing family protein 3	1:Experimental evidence at protein level	39.66	10.000	0.9990	19	12	19	54	36	54	465627680	224479384	465627680	10K(229.1629), 11K(229.1629), 11M(15.9949), 12K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 37K(229.1629), 5C(57.0214), 7K(229.1629), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692), N-term(42.0106)			39.670.669.087	43.182.135.491	38.018.128.513	46.352.136.191	47.186.177.698	41.709.110.767	59.961.045.496	37.503.009.788	44.448.832.087	42.932.654.692	71.966.288.291
sp|Q7Z7A1|CNTRL_HUMAN	Q7Z7A1	CNTRL_HUMAN	CNTRL	2325	Homo sapiens	Centriolin	1:Experimental evidence at protein level	19.10	10.000	0.9990	39	37	39	60	57	60	144861972	110507760	144861972	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 20K(229.1629), 22K(229.1629), 2K(229.1629), 3C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			16.021.258.851	20.513.132.976	15.870.830.049	22.930.906.335	19.782.333.560	23.103.487.551	22.838.835.605	18.613.697.229	23.735.191.887	16.648.028.413	30.791.024.067
sp|Q7Z7A3|CTU1_HUMAN	Q7Z7A3	CTU1_HUMAN	CTU1	348	Homo sapiens	Cytoplasmic tRNA 2-thiolation protein 1	1:Experimental evidence at protein level	35.63	10.000	0.9990	9	8	9	12	11	12	88508236	88508236	88508236	21K(229.1629), 3C(57.0214), 5C(57.0214), 6C(57.0214), 8C(57.0214), 9C(57.0214), N-term(229.1692)			2.546.088.898	2.430.074.714	1.852.943.344	2.866.673.811	2.683.071.493	2.996.785.968	3.454.701.829	2.444.658.406	3.178.341.400	2.550.944.750	4.131.581.134
sp|Q7Z7A4|PXK_HUMAN	Q7Z7A4	PXK_HUMAN	PXK	578	Homo sapiens	PX domain-containing protein kinase-like protein	1:Experimental evidence at protein level	30.28	10.000	0.9990	18	17	18	31	30	31	273241032	273241032	273241032	12K(229.1629), 13K(229.1629), 17K(229.1629), 18C(57.0214), 1K(229.1629), 21K(229.1629), 22K(229.1629), 23K(229.1629), 2C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			14.697.799.443	14.490.533.647	9.616.615.615	16.086.604.312	11.175.591.875	15.556.726.943	21.250.380.283	8.833.511.357	17.347.368.145	7.678.700.518	23.574.154.004
sp|Q7Z7C8|TAF8_HUMAN	Q7Z7C8	TAF8_HUMAN	TAF8	310	Homo sapiens	Transcription initiation factor TFIID subunit 8	1:Experimental evidence at protein level	14.19	10.000	0.9990	3	3	3	7	7	7	56617983	56617983	56617983	16K(229.1629), N-term(229.1692), N-term(42.0106)			8.040.311.011	5.516.165.741	7.402.024.453	9.914.253.771	7.902.528.105	6.263.529.828	11.189.868.099	5.912.956.523	9.931.061.006	5.539.775.828	9.391.620.222
sp|Q7Z7E8|UB2Q1_HUMAN	Q7Z7E8	UB2Q1_HUMAN	UBE2Q1	422	Homo sapiens	Ubiquitin-conjugating enzyme E2 Q1	1:Experimental evidence at protein level	23.46	10.000	0.9990	7	6	7	11	10	11	227938908	198822734	227938908	15K(229.1629), 1K(229.1629), 3C(57.0214), 7C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			7.348.470.527	8.225.046.208	6.712.447.593	7.997.234.568	7.946.143.213	8.329.717.449	11.093.510.779	7.632.777.275	8.827.829.370	7.689.450.303	12.185.459.336
sp|Q7Z7F0|KHDC4_HUMAN	Q7Z7F0	KHDC4_HUMAN	KHDC4	614	Homo sapiens	KH homology domain-containing protein 4	1:Experimental evidence at protein level	16.61	10.000	0.9990	9	9	9	14	14	14	149915320	149915320	149915320	10K(229.1629), 14K(229.1629), 15K(229.1629), 2K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			7.597.550.156	8.028.368.701	6.720.311.953	8.749.730.088	8.105.672.803	8.163.260.649	10.836.939.331	5.982.495.459	9.756.231.489	6.357.797.666	12.215.972.036
sp|Q7Z7F7|RM55_HUMAN	Q7Z7F7	RM55_HUMAN	MRPL55	128	Homo sapiens	Large ribosomal subunit protein mL55	1:Experimental evidence at protein level	43.75	10.000	0.9990	7	7	7	14	14	14	256602160	256602160	256602160	4M(15.9949), 8K(229.1629), N-term(229.1692)			3.478.249.031	3.740.473.496	5.454.236.860	3.875.068.306	4.282.064.941	4.330.412.051	3.993.687.642	4.567.963.472	4.167.559.365	5.164.935.530	6.817.780.020
sp|Q7Z7G8|VP13B_HUMAN	Q7Z7G8	VP13B_HUMAN	VPS13B	4022	Homo sapiens	Intermembrane lipid transfer protein VPS13B	1:Experimental evidence at protein level	1.86	10.000	0.9990	5	5	5	6	6	6	32345996	32345996	32345996	10C(57.0214), 15C(57.0214), 15K(229.1629), 16K(229.1629), 18K(229.1629), 2C(57.0214), 6C(57.0214), 7C(57.0214), 9K(229.1629), N-term(229.1692)			346.466.426	343.530.710	209.064.551	414.203.152	376.429.487	397.316.616	533.744.998	338.879.813	452.050.093	250.512.125	541.431.824
sp|Q7Z7H5|TMED4_HUMAN	Q7Z7H5	TMED4_HUMAN	TMED4	227	Homo sapiens	Transmembrane emp24 domain-containing protein 4	1:Experimental evidence at protein level	25.55	10.000	0.9990	6	5	6	16	14	16	140792662	134401182	140792662	11K(229.1629), 11M(15.9949), 12M(15.9949), 17K(229.1629), 1C(57.0214), 22K(229.1629), 2C(57.0214), N-term(229.1692)			2.233.834.380	3.014.757.217	2.199.846.846	3.083.747.705	2.447.617.124	3.063.164.946	3.218.703.960	2.697.583.342	2.845.117.803	3.362.189.937	4.017.448.413
sp|Q7Z7H8|RM10_HUMAN	Q7Z7H8	RM10_HUMAN	MRPL10	261	Homo sapiens	Large ribosomal subunit protein uL10m	1:Experimental evidence at protein level	44.83	10.000	0.9990	8	8	8	20	20	20	212442264	212442264	212442264	11C(57.0214), 11K(229.1629), 13M(15.9949), 15K(229.1629), 21K(229.1629), 5C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			4.429.849.043	5.239.525.300	4.942.733.943	5.107.043.955	6.277.335.935	5.567.110.688	6.364.366.929	5.761.062.781	5.598.300.132	5.892.832.865	8.105.137.769
sp|Q7Z7K0|COXM1_HUMAN	Q7Z7K0	COXM1_HUMAN	CMC1	106	Homo sapiens	COX assembly mitochondrial protein homolog	1:Experimental evidence at protein level	50.00	10.000	0.9990	5	5	5	9	9	9	209706724	209706724	209706724	10K(229.1629), 16C(57.0214), 17K(229.1629), 1C(57.0214), 2C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			5.850.739.453	6.345.936.826	4.748.211.506	5.544.003.750	6.320.921.504	5.571.068.252	8.012.722.070	5.550.407.515	5.742.654.775	5.998.149.780	11.030.543.057
sp|Q7Z7K6|CENPV_HUMAN	Q7Z7K6	CENPV_HUMAN	CENPV	275	Homo sapiens	Centromere protein V	1:Experimental evidence at protein level	56.73	10.000	0.9990	12	12	12	29	29	29	560679376	560679376	560679376	11K(229.1629), 13K(229.1629), 14K(229.1629), 2M(15.9949), 5C(57.0214), 6C(57.0214), 6K(229.1629), 7C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			16.319.088.369	16.129.104.165	13.434.776.973	19.194.031.833	17.027.806.467	17.447.518.195	21.414.937.625	13.328.780.815	19.361.820.364	11.132.357.202	27.637.707.499
sp|Q7Z7L1|SLN11_HUMAN	Q7Z7L1	SLN11_HUMAN	SLFN11	901	Homo sapiens	Schlafen family member 11	1:Experimental evidence at protein level	13.65	10.000	0.9990	13	9	13	14	10	14	79027769	79027769	79027769	10C(57.0214), 10K(229.1629), 11K(229.1629), 15C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692)			6.461.628.628	4.974.714.370	3.151.066.663	5.744.021.938	4.746.004.282	5.276.739.985	9.163.788.398	3.840.241.863	6.274.451.299	2.734.086.211	5.312.708.687
sp|Q7Z7L7|ZER1_HUMAN	Q7Z7L7	ZER1_HUMAN	ZER1	766	Homo sapiens	Protein zer-1 homolog	1:Experimental evidence at protein level	3.66	10.000	0.9990	3	3	3	6	6	6	12840522	12840522	12840522	13K(229.1629), 5C(57.0214), 7K(229.1629), N-term(229.1692)			609.517.966	716.645.706	562.701.047	673.252.456	712.049.580	665.101.001	751.859.209	574.768.535	630.081.699	798.558.430	979.663.132
sp|Q7Z7L9|ZSCA2_HUMAN	Q7Z7L9	ZSCA2_HUMAN	ZSCAN2	614	Homo sapiens	Zinc finger and SCAN domain-containing protein 2	2:Experimental evidence at transcript level	5.21	10.000	0.9990	3	2	2	5	2	2	22556550	3004330	22556550	14K(229.1629), N-term(229.1692)			1.268.988.970	1.228.064.941	1.602.097.290	1.740.098.843	1.849.342.590	1.870.770.273	2.156.083.662	1.490.086.782	1.705.243.086	1.110.006.309	3.249.453.945
sp|Q7Z7M0|MEGF8_HUMAN	Q7Z7M0	MEGF8_HUMAN	MEGF8	2845	Homo sapiens	Multiple epidermal growth factor-like domains protein 8	1:Experimental evidence at protein level	0.25	10.000	0.9990	1	1	1	1	1	1	0	0	0	6C(57.0214), N-term(229.1692)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q86SE9|PCGF5_HUMAN	Q86SE9	PCGF5_HUMAN	PCGF5	256	Homo sapiens	Polycomb group RING finger protein 5	1:Experimental evidence at protein level	11.72	10.000	0.9990	2	2	2	3	3	3	4204409	4204409	4204409	11C(57.0214), 12K(229.1629), 18K(229.1629), 8C(57.0214), N-term(229.1692)			327.641.451	410.088.340	412.383.282	432.988.826	484.015.461	519.753.640	589.219.172	544.587.402	424.095.375	610.946.489	692.092.109
sp|Q86SF2|GALT7_HUMAN	Q86SF2	GALT7_HUMAN	GALNT7	657	Homo sapiens	N-acetylgalactosaminyltransferase 7	1:Experimental evidence at protein level	16.13	10.000	0.9990	11	11	11	16	16	16	66856354	66856354	66856354	10C(57.0214), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			4.502.327.617	6.098.887.471	2.728.169.824	6.245.543.242	4.381.703.203	6.817.243.330	6.208.555.000	4.366.313.896	6.975.635.137	3.109.332.954	7.255.618.477
sp|Q86SQ7|SDCG8_HUMAN	Q86SQ7	SDCG8_HUMAN	SDCCAG8	713	Homo sapiens	Serologically defined colon cancer antigen 8	1:Experimental evidence at protein level	22.72	10.000	0.9990	16	16	16	24	24	24	114700228	114700228	114700228	10K(229.1629), 12K(229.1629), 1K(229.1629), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			6.217.022.983	9.187.652.830	5.690.307.443	9.170.099.023	9.321.374.114	10.408.344.900	9.931.117.688	8.237.470.892	9.362.950.129	6.128.530.277	10.156.756.392
sp|Q86SQ9|DHDDS_HUMAN	Q86SQ9	DHDDS_HUMAN	DHDDS	333	Homo sapiens	Dehydrodolichyl diphosphate synthase complex subunit DHDDS	1:Experimental evidence at protein level	2.70	10.000	0.9990	1	1	1	2	2	2	6881836	6881836	6881836	N-term(229.1692)			522.502.461	630.134.082	421.506.475	667.549.824	537.345.176	683.172.246	660.639.922	500.081.885	609.306.797	493.999.941	833.372.832
sp|Q86SX6|GLRX5_HUMAN	Q86SX6	GLRX5_HUMAN	GLRX5	157	Homo sapiens	Glutaredoxin-related protein 5, mitochondrial	1:Experimental evidence at protein level	21.66	10.000	0.9990	5	5	5	12	12	12	117538026	117538026	117538026	11K(229.1629), 18K(229.1629), 23K(229.1629), N-term(229.1692)			4.313.798.691	5.399.046.753	5.143.349.321	5.576.118.259	4.848.458.311	5.328.943.838	6.156.478.594	5.171.443.745	5.712.770.459	5.887.936.138	9.460.246.807
sp|Q86SZ2|TPC6B_HUMAN	Q86SZ2	TPC6B_HUMAN	TRAPPC6B	158	Homo sapiens	Trafficking protein particle complex subunit 6B	1:Experimental evidence at protein level	70.25	10.000	0.9990	12	12	12	28	28	28	155922488	155922488	155922488	13C(57.0214), 14K(229.1629), 19K(229.1629), 2K(229.1629), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			8.325.016.147	13.483.045.850	9.578.631.846	15.927.157.256	12.783.707.109	14.006.985.298	13.318.332.007	13.512.931.577	13.490.384.849	13.124.242.065	16.903.466.426
sp|Q86T03|PP4P1_HUMAN	Q86T03	PP4P1_HUMAN	PIP4P1	277	Homo sapiens	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	1:Experimental evidence at protein level	7.22	10.000	0.9990	2	2	2	4	4	4	39438389	39438389	39438389	11K(229.1629), 2C(57.0214), 3C(57.0214), 8C(57.0214), 9K(229.1629), N-term(229.1692)			2.303.905.068	2.973.023.184	2.600.342.070	2.426.977.451	2.891.232.695	3.277.023.916	3.043.534.902	2.453.599.248	2.308.785.430	3.244.563.652	3.543.397.227
sp|Q86T24|KAISO_HUMAN	Q86T24	KAISO_HUMAN	ZBTB33	672	Homo sapiens	Transcriptional regulator Kaiso	1:Experimental evidence at protein level	19.94	10.000	0.9990	11	11	11	15	15	15	106860878	106860878	106860878	10K(229.1629), 11K(229.1629), 12K(229.1629), 17C(57.0214), 17K(229.1629), 18K(229.1629), 33K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			6.100.298.169	4.837.216.167	3.228.408.784	5.489.479.241	4.904.427.866	4.312.219.884	7.305.444.338	2.741.838.893	5.958.043.828	2.538.536.826	4.888.803.176
sp|Q86T82|UBP37_HUMAN	Q86T82	UBP37_HUMAN	USP37	979	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase 37	1:Experimental evidence at protein level	3.17	10.000	0.9990	3	3	3	3	3	3	9132486	9132486	9132486	11K(229.1629), 12K(229.1629), 2C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			70.900.945	55.769.454	27.703.240	92.950.884	60.567.593	69.793.209	90.265.709	58.739.863	74.114.723	24.315.859	100.114.580
sp|Q86T90|K1328_HUMAN	Q86T90	K1328_HUMAN	KIAA1328	577	Homo sapiens	Protein hinderin	1:Experimental evidence at protein level	4.85	10.000	0.9990	2	2	2	2	2	2	17750583	17750583	17750583	11M(15.9949), 8K(229.1629), N-term(229.1692)			57.948.643	92.545.420	43.259.282	85.114.678	72.869.761	104.377.988	71.005.557	59.381.284	79.477.290	61.001.323	108.141.162
sp|Q86TB9|PATL1_HUMAN	Q86TB9	PATL1_HUMAN	PATL1	770	Homo sapiens	Protein PAT1 homolog 1	1:Experimental evidence at protein level	19.74	10.000	0.9990	13	13	13	20	20	20	690372596	690372596	690372596	11K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			9.960.445.107	10.366.542.915	8.742.949.971	11.146.502.324	11.078.252.451	11.397.802.844	11.884.032.168	10.197.075.308	12.269.409.116	9.244.751.934	16.599.957.114
sp|Q86TI0|TBCD1_HUMAN	Q86TI0	TBCD1_HUMAN	TBC1D1	1168	Homo sapiens	TBC1 domain family member 1	1:Experimental evidence at protein level	17.98	10.000	0.9990	20	19	20	24	23	24	86595716	86595716	86595716	11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 16K(229.1629), 1K(229.1629), 2C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), N-term(229.1692)			8.153.370.664	10.447.675.464	7.060.345.730	13.128.854.976	10.755.304.125	11.357.410.938	12.861.102.751	7.680.054.761	11.446.668.328	7.762.309.331	14.022.222.747
sp|Q86TI2|DPP9_HUMAN	Q86TI2	DPP9_HUMAN	DPP9	863	Homo sapiens	Dipeptidyl peptidase 9	1:Experimental evidence at protein level	34.65	10.000	0.9990	26	26	26	52	52	52	237721016	237721016	237721016	10K(229.1629), 11K(229.1629), 12K(229.1629), 12M(15.9949), 16K(229.1629), 17K(229.1629), 18K(229.1629), 21K(229.1629), 25K(229.1629), 3K(229.1629), 4C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			22.549.528.511	24.320.952.797	17.060.864.565	24.243.443.301	24.832.409.690	24.571.511.282	31.409.523.333	19.936.307.908	27.747.879.072	17.370.482.786	36.047.284.731
sp|Q86TJ2|TAD2B_HUMAN	Q86TJ2	TAD2B_HUMAN	TADA2B	420	Homo sapiens	Transcriptional adapter 2-beta	1:Experimental evidence at protein level	10.00	10.000	0.9990	4	4	4	5	5	5	18975974	18975974	18975974	11K(229.1629), 7K(229.1629), N-term(229.1692)			731.874.795	927.939.951	824.953.560	883.732.412	945.799.927	1.053.610.601	1.048.974.756	983.325.117	922.390.391	1.006.131.025	1.348.806.621
sp|Q86TM6|SYVN1_HUMAN	Q86TM6	SYVN1_HUMAN	SYVN1	617	Homo sapiens	E3 ubiquitin-protein ligase synoviolin	1:Experimental evidence at protein level	1.13	10.000	0.9990	1	1	1	2	2	2	21972354	21972354	21972354	N-term(229.1692)			415.237.461	392.967.539	348.761.846	519.870.371	385.761.846	422.983.164	585.732.617	389.272.217	483.507.842	452.077.129	666.139.902
sp|Q86TN4|TRPT1_HUMAN	Q86TN4	TRPT1_HUMAN	TRPT1	253	Homo sapiens	tRNA 2'-phosphotransferase 1	1:Experimental evidence at protein level	16.60	10.000	0.9990	3	3	3	7	7	7	46992102	46992102	46992102	10K(229.1629), N-term(229.1692)			2.893.461.881	3.843.190.752	2.745.485.215	3.876.373.800	3.678.814.880	3.821.342.407	4.086.300.532	3.918.862.168	3.782.534.641	3.895.973.843	5.284.264.219
sp|Q86TP1|PRUN1_HUMAN	Q86TP1	PRUN1_HUMAN	PRUNE1	453	Homo sapiens	Exopolyphosphatase PRUNE1	1:Experimental evidence at protein level	9.71	10.000	0.9990	4	4	4	6	6	6	38730673	38730673	38730673	10K(229.1629), 14K(229.1629), 9K(229.1629), N-term(229.1692)			1.178.808.984	1.372.002.832	868.982.041	1.706.773.574	1.184.119.600	1.556.975.508	1.610.005.078	1.014.937.598	1.720.522.363	1.039.059.131	1.884.727.852
sp|Q86TS9|RM52_HUMAN	Q86TS9	RM52_HUMAN	MRPL52	123	Homo sapiens	Large ribosomal subunit protein mL52	1:Experimental evidence at protein level	48.78	10.000	0.9990	3	3	3	8	8	8	69863018	69863018	69863018	33K(229.1629), 6K(229.1629), 8K(229.1629), N-term(229.1692)			3.125.788.055	3.571.415.630	3.762.726.985	3.706.418.193	4.242.226.035	3.578.205.217	4.449.839.836	3.893.342.013	3.691.335.667	3.682.961.128	6.193.122.148
sp|Q86TU7|SETD3_HUMAN	Q86TU7	SETD3_HUMAN	SETD3	594	Homo sapiens	Actin-histidine N-methyltransferase	1:Experimental evidence at protein level	37.88	10.000	0.9990	23	23	23	39	39	39	174605452	174605452	174605452	10K(229.1629), 11K(229.1629), 12K(229.1629), 18K(229.1629), 1C(57.0214), 3C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692)			22.497.367.456	34.421.947.911	17.900.592.749	26.680.468.506	23.681.008.408	25.671.839.609	34.007.020.056	19.885.268.057	26.532.062.141	18.727.034.370	39.178.140.730
sp|Q86TW2|ADCK1_HUMAN	Q86TW2	ADCK1_HUMAN	ADCK1	530	Homo sapiens	AarF domain-containing protein kinase 1	1:Experimental evidence at protein level	2.08	10.000	0.9990	1	1	1	1	1	1	9239606	9239606	9239606	N-term(229.1692)			293.931.660	250.227.461	168.028.828	340.994.531	276.799.824	261.912.930	332.044.609	209.917.031	281.132.695	302.649.785	348.171.953
sp|Q86U28|ISCA2_HUMAN	Q86U28	ISCA2_HUMAN	ISCA2	154	Homo sapiens	Iron-sulfur cluster assembly 2 homolog, mitochondrial	1:Experimental evidence at protein level	38.31	10.000	0.9990	5	5	5	9	9	9	35296126	35296126	35296126	14K(229.1629), 15C(57.0214), 17C(57.0214), 24K(229.1629), 5C(57.0214), 8C(57.0214), N-term(229.1692)			1.717.675.186	2.396.713.301	1.599.375.940	2.956.050.520	2.327.114.404	2.658.161.995	2.638.123.000	2.034.927.346	2.764.635.352	2.108.161.322	3.737.858.081
sp|Q86U38|NOP9_HUMAN	Q86U38	NOP9_HUMAN	NOP9	636	Homo sapiens	Nucleolar protein 9	1:Experimental evidence at protein level	29.87	10.000	0.9990	17	17	17	30	30	30	166302332	166302332	166302332	10K(229.1629), 12K(229.1629), 16K(229.1629), 18K(229.1629), 1C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			10.705.889.395	12.550.556.191	8.107.548.604	12.867.535.742	12.070.123.702	12.083.002.710	15.730.781.638	9.701.127.605	13.365.411.050	8.770.042.103	17.215.436.702
sp|Q86U42|PABP2_HUMAN	Q86U42	PABP2_HUMAN	PABPN1	306	Homo sapiens	Polyadenylate-binding protein 2	1:Experimental evidence at protein level	47.06	10.000	0.9990	9	9	9	59	59	59	863285384	863285384	863285384	10K(229.1629), 16M(15.9949), 21K(229.1629), 23C(57.0214), 2M(15.9949), 45K(229.1629), 4M(15.9949), 8K(229.1629), N-term(229.1692), N-term(42.0106)			13.503.730.957	15.786.885.348	13.397.967.642	17.750.503.094	16.057.820.615	16.118.178.260	19.727.298.641	12.964.498.436	16.900.683.565	11.459.623.407	25.979.682.694
sp|Q86U44|MTA70_HUMAN	Q86U44	MTA70_HUMAN	METTL3	580	Homo sapiens	N6-adenosine-methyltransferase catalytic subunit	1:Experimental evidence at protein level	32.24	10.000	0.9990	16	16	16	30	30	30	155165784	155165784	155165784	10K(229.1629), 11K(229.1629), 12C(57.0214), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16K(229.1629), 18K(229.1629), 1K(229.1629), 21C(57.0214), 22K(229.1629), 3C(57.0214), 5K(229.1629), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			13.159.115.337	13.228.174.907	12.828.163.022	12.990.098.584	15.259.120.466	13.997.615.178	16.893.508.486	9.779.049.585	17.529.320.645	9.623.336.909	19.424.115.737
sp|Q86U70|LDB1_HUMAN	Q86U70	LDB1_HUMAN	LDB1	411	Homo sapiens	LIM domain-binding protein 1	1:Experimental evidence at protein level	13.38	10.000	0.9990	5	5	5	13	13	13	61107549	61107549	61107549	15K(229.1629), 1C(57.0214), N-term(229.1692)			3.514.848.416	4.545.693.669	4.325.675.073	4.324.006.084	5.567.619.084	4.870.962.915	5.196.880.625	5.717.295.146	5.106.175.425	5.384.965.017	6.684.046.865
sp|Q86U86|PB1_HUMAN	Q86U86	PB1_HUMAN	PBRM1	1689	Homo sapiens	Protein polybromo-1	1:Experimental evidence at protein level	34.87	10.000	0.9990	58	58	58	107	107	107	280730296	280730296	280730296	10K(229.1629), 11K(229.1629), 14C(57.0214), 14K(229.1629), 15K(229.1629), 17K(229.1629), 18K(229.1629), 1C(57.0214), 1K(229.1629), 22K(229.1629), 23K(229.1629), 29K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 3M(15.9949), 4C(57.0214), 4K(229.1629), 6C(57.0214), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692)			51.217.250.559	62.122.189.321	44.953.432.512	69.254.973.960	64.334.085.775	65.275.174.124	75.353.181.377	50.533.792.224	70.412.654.067	47.679.532.144	90.402.802.173
